"id","matchDate","Country","League","Season","homeTeam","awayTeam","referee","FTHG","FTAG","FTR"
"6949","17-05-16 21:00","England","Premier League","2015/2016","Manchester Utd","Bournemouth","Jonathan Moss","3","1","H"
"6950","15-05-16 16:00","England","Premier League","2015/2016","Arsenal","Aston Villa","Mark Clattenburg","4","0","H"
"6951","15-05-16 16:00","England","Premier League","2015/2016","Chelsea","Leicester","Craig Pawson","1","1","D"
"6952","15-05-16 16:00","England","Premier League","2015/2016","Everton","Norwich","Lee Mason","3","0","H"
"6953","15-05-16 16:00","England","Premier League","2015/2016","Newcastle","Tottenham","Anthony Taylor","5","1","H"
"6954","15-05-16 16:00","England","Premier League","2015/2016","Southampton","Crystal Palace","Michael Oliver","4","1","H"
"6955","15-05-16 16:00","England","Premier League","2015/2016","Stoke","West Ham","Mike Jones","2","1","H"
"6956","15-05-16 16:00","England","Premier League","2015/2016","Swansea","Manchester City","Mike Dean","1","1","D"
"6957","15-05-16 16:00","England","Premier League","2015/2016","Watford","Sunderland","Kevin Friend","2","2","D"
"6958","15-05-16 16:00","England","Premier League","2015/2016","West Brom","Liverpool","Robert Madley","1","1","D"
"6959","11-05-16 21:00","England","Premier League","2015/2016","Liverpool","Chelsea","Michael Oliver","1","1","D"
"6960","11-05-16 20:45","England","Premier League","2015/2016","Norwich","Watford","Roger East","4","2","H"
"6961","11-05-16 20:45","England","Premier League","2015/2016","Sunderland","Everton","Anthony Taylor","3","0","H"
"6962","10-05-16 20:45","England","Premier League","2015/2016","West Ham","Manchester Utd","Mike Dean","3","2","H"
"6963","08-05-16 17:00","England","Premier League","2015/2016","Liverpool","Watford","Lee Mason","2","0","H"
"6964","08-05-16 17:00","England","Premier League","2015/2016","Manchester City","Arsenal","Anthony Taylor","2","2","D"
"6965","08-05-16 14:30","England","Premier League","2015/2016","Tottenham","Southampton","Jonathan Moss","1","2","A"
"6966","07-05-16 18:30","England","Premier League","2015/2016","Leicester","Everton","Andre Marriner","3","1","H"
"6967","07-05-16 16:00","England","Premier League","2015/2016","Aston Villa","Newcastle","Robert Madley","0","0","D"
"6968","07-05-16 16:00","England","Premier League","2015/2016","Bournemouth","West Brom","Mark Clattenburg","1","1","D"
"6969","07-05-16 16:00","England","Premier League","2015/2016","Crystal Palace","Stoke","Kevin Friend","2","1","H"
"6970","07-05-16 16:00","England","Premier League","2015/2016","Sunderland","Chelsea","Mike Jones","3","2","H"
"6971","07-05-16 16:00","England","Premier League","2015/2016","West Ham","Swansea","Michael Oliver","1","4","A"
"6972","07-05-16 13:45","England","Premier League","2015/2016","Norwich","Manchester Utd","Craig Pawson","0","1","A"
"6973","02-05-16 21:00","England","Premier League","2015/2016","Chelsea","Tottenham","Mark Clattenburg","2","2","D"
"6974","01-05-16 17:30","England","Premier League","2015/2016","Southampton","Manchester City","Andre Marriner","4","2","H"
"6975","01-05-16 15:05","England","Premier League","2015/2016","Manchester Utd","Leicester","Michael Oliver","1","1","D"
"6976","01-05-16 13:00","England","Premier League","2015/2016","Swansea","Liverpool","Roger East","3","1","H"
"6977","30-04-16 18:30","England","Premier League","2015/2016","Arsenal","Norwich","Mike Jones","1","0","H"
"6978","30-04-16 16:00","England","Premier League","2015/2016","Everton","Bournemouth","Neil Swarbrick","2","1","H"
